task,n,mean_risk10,secs
logistic__cvr0f4__imp10.parquet,8229,0.05985974051668539,0.3846440315246582
logistic__cvr1f0__imp10.parquet,8232,0.06033005829378006,0.3865482807159424
logistic__cvr1f4__imp10.parquet,8229,0.058324853539101634,0.3689131736755371
logistic__cvr2f1__imp10.parquet,8230,0.05971548007688225,0.34955453872680664
logistic__cvr2f3__imp10.parquet,8230,0.05997210046797052,0.35640740394592285
logistic__cvr2f4__imp10.parquet,8229,0.06122865731930943,0.3612790107727051
logistic__cvr2f2__imp10.parquet,8230,0.06068234708990595,0.3667581081390381
logistic_cr__cvr0f1__imp10.parquet,8230,0.04741850059254842,0.36043381690979004
logistic__cvr2f0__imp10.parquet,8232,0.06190091612189271,0.4307734966278076
logistic_cr__cvr0f0__imp10.parquet,8232,0.046299826600116376,0.40506863594055176
logistic_cr__cvr0f2__imp10.parquet,8230,0.04367088417519367,0.4053976535797119
logistic_cr__cvr1f0__imp10.parquet,8232,0.045549633061874505,0.3788323402404785
logistic_cr__cvr1f2__imp10.parquet,8230,0.04553879344333703,0.3433997631072998
gbs_naive__temporal__imp9.parquet,9329,0.05011010144356124,1.175908088684082
logistic_cr__cvr2f3__imp10.parquet,8230,0.04524982484993999,0.22744131088256836
logistic_cr__cvr1f1__imp10.parquet,8230,0.04655887966772514,0.48752355575561523
logistic_cr__cvr0f4__imp10.parquet,8229,0.045104580331164525,0.5335607528686523
logistic_cr__cvr2f1__imp10.parquet,8230,0.045221316019444874,0.3351750373840332
logistic_cr__cvr2f0__imp10.parquet,8232,0.046187015442196604,0.36019468307495117
logistic_cr__cvr2f2__imp10.parquet,8230,0.04557038404363587,0.3246800899505615
logistic_cr__cvr2f4__imp10.parquet,8229,0.04552346938580888,0.3450005054473877
logistic_cr__cvr1f4__imp10.parquet,8229,0.04367292939236454,0.45134544372558594
logistic__temporal__imp11.parquet,9329,0.05382768282134725,0.26981472969055176
gbs_naive__temporal__imp10.parquet,9329,0.04964291243482271,1.043482780456543
logistic__cvr0f1__imp11.parquet,8230,0.06250121639192442,0.3767218589782715
logistic__cvr0f2__imp11.parquet,8230,0.058805233763661965,0.35971641540527344
logistic__cvr0f3__imp11.parquet,8230,0.060469350816515444,0.3325812816619873
logistic__cvr0f0__imp11.parquet,8232,0.061796609054581786,0.4093663692474365
