"task","n","mean_risk10","secs"
"rsf_cr__cvr0f2__imp9",8230,0.0363731338331228,194.993780136108
"rsf_cr__cvr0f3__imp9",8230,0.0369526656653423,196.800316095352
"rsf_cr__cvr0f4__imp9",8229,0.037340693197063,200.377060413361
"rsf_cr__cvr1f0__imp9",8232,0.0364544101594507,198.285506010056
"rsf_cr__cvr1f1__imp9",8230,0.0370423297242725,196.231801509857
"rsf_cr__cvr1f2__imp9",8230,0.037392736830434,195.027930259705
"rsf_cr__cvr1f3__imp9",8230,0.0374897934579598,197.129291057587
"rsf_cr__cvr1f4__imp9",8229,0.0359466391356898,197.36470246315
"rsf_cr__cvr2f0__imp9",8232,0.0377918833237811,197.162162065506
"rsf_cr__cvr2f1__imp9",8230,0.0371197650743779,197.536807537079
"rsf_cr__cvr2f2__imp9",8230,0.0378036761266422,196.462787866592
"rsf_cr__cvr2f3__imp9",8230,0.035593867578628,196.498840808868
"rsf_cr__cvr2f4__imp9",8229,0.0368118212183288,199.249128103256
"rsf_naive__temporal__imp10",9329,0.04865588650138,48.7681901454926
"rsf_cr__temporal__imp10",9329,0.0423695459106473,98.5244877338409
"rsf_naive__cvr0f0__imp10",8232,0.0434895409737491,108.864418268204
"rsf_naive__cvr0f1__imp10",8230,0.0425264152661564,108.461084842682
"rsf_naive__cvr0f2__imp10",8230,0.0414749143566097,106.019600152969
"rsf_naive__cvr0f3__imp10",8230,0.0429971947719438,107.086941003799
"rsf_naive__cvr0f4__imp10",8229,0.0426863077871827,112.14339184761
"rsf_naive__cvr1f0__imp10",8232,0.0419047437220887,111.631355524063
"rsf_naive__cvr1f1__imp10",8230,0.0427134994521892,108.38333106041
"rsf_naive__cvr1f2__imp10",8230,0.0439614744761706,107.965766906738
"rsf_naive__cvr1f3__imp10",8230,0.0446309883179279,109.66130900383
"rsf_naive__cvr1f4__imp10",8229,0.0420024839641725,110.595014333725
"rsf_naive__cvr2f0__imp10",8232,0.0439189383118628,108.426728725433
"rsf_naive__cvr2f1__imp10",8230,0.0427081557921357,109.650144577026
"rsf_naive__cvr2f2__imp10",8230,0.0436110037749994,108.838297843933
"rsf_naive__cvr2f3__imp10",8230,0.0425265904979024,106.542596101761
"rsf_naive__cvr2f4__imp10",8229,0.0433934299753547,109.63791847229
"rsf_cr__cvr0f0__imp10",8232,0.0369789725583877,202.364727735519
"rsf_cr__cvr0f1__imp10",8230,0.0372745660842663,201.09542131424
"rsf_cr__cvr0f2__imp10",8230,0.0364731420196212,201.092653751373
"rsf_cr__cvr0f3__imp10",8230,0.0369820620814317,201.258881092072
"rsf_cr__cvr0f4__imp10",8229,0.037237194886279,203.087311267853
"rsf_cr__cvr1f0__imp10",8232,0.0362807942842216,203.909471511841
"rsf_cr__cvr1f1__imp10",8230,0.0369858654541416,202.716279506683
"rsf_cr__cvr1f2__imp10",8230,0.0375430530263713,201.479321479797
"rsf_cr__cvr1f3__imp10",8230,0.0375690259608297,201.408911943436
"rsf_cr__cvr1f4__imp10",8229,0.0357178192411569,201.06424164772
"rsf_cr__cvr2f0__imp10",8232,0.0374324040496769,201.681015729904
"rsf_cr__cvr2f1__imp10",8230,0.0373584995213153,201.138087511063
"rsf_cr__cvr2f2__imp10",8230,0.0377523204750584,205.72397685051
"rsf_cr__cvr2f3__imp10",8230,0.0359578011362041,204.630228996277
"rsf_cr__cvr2f4__imp10",8229,0.0367805256905658,204.292586565018
"rsf_naive__temporal__imp11",9329,0.048969800500924,48.6473727226257
"rsf_cr__temporal__imp11",9329,0.0426246183833924,98.3991754055023
"rsf_naive__cvr0f0__imp11",8232,0.0433952539568347,108.077564239502
"rsf_naive__cvr0f1__imp11",8230,0.0428403466253361,107.466866254807
"rsf_naive__cvr0f2__imp11",8230,0.0415482612214283,105.786032676697
"rsf_naive__cvr0f3__imp11",8230,0.0423878386477974,107.852473974228
"rsf_naive__cvr0f4__imp11",8229,0.042779778880431,110.593705177307
"rsf_naive__cvr1f0__imp11",8232,0.0420962326303465,110.521593809128
"rsf_naive__cvr1f1__imp11",8230,0.0426704828228384,109.539465904236
"rsf_naive__cvr1f2__imp11",8230,0.0436128313020723,108.630463600159
"rsf_naive__cvr1f3__imp11",8230,0.0446841609674515,110.275186777115
"rsf_naive__cvr1f4__imp11",8229,0.0422436853380403,111.436838150024
"rsf_naive__cvr2f0__imp11",8232,0.0439186451616546,109.794919967651
"rsf_naive__cvr2f1__imp11",8230,0.0429088985088381,109.51854634285
"rsf_naive__cvr2f2__imp11",8230,0.0438236652087546,109.786502838135
"rsf_naive__cvr2f3__imp11",8230,0.0421826051772684,106.465024709702
"rsf_naive__cvr2f4__imp11",8229,0.0432776431866052,106.591633558273
"rsf_cr__cvr0f0__imp11",8232,0.0368771264736004,200.337886095047
