split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,rsf_naive,naive,10,e90_smoothcsh,smoothnet,0.02118817768524023,0.0030643986738206823,0.013010534815061016,0.015911722804953152,0.02646463256552731,0.0026920298069194153,0.008798389902527327,36827.780149389524,30
cv,rsf_naive,naive,10,e90_smoothnet,smoothnet,0.004363278076325688,0.006901558998879398,0.019037655311649106,-0.001965410796917641,0.010691966949569018,0.003228870771234221,0.0107636256126605,35065.167912142926,30
cv,rsf_naive,naive,10,ici_concordant_austin,smoothnet,0.00229760669074646,0.003462754671486238,0.006880113033212879,0.0004245273123277143,0.0041706860691652055,0.0009555936760803353,0.03464626360871038,15094.975847173675,30
cv,rsf_naive,naive,10,e50_concordant_austin,smoothnet,0.002146698421129296,0.001886273765541215,0.0036212281673957828,0.001331994012975527,0.002961402829283065,0.00041545638688240266,0.10904735332764086,2320.9941159067344,30
cv,rsf_naive,naive,10,e90_concordant_austin,smoothnet,0.004363278076325688,0.006901558998879398,0.019037655311649106,-0.001965410796917641,0.010691966949569018,0.003228870771234221,0.0107636256126605,35065.167912142926,30
temporal,cox_naive,naive,10,ici_smoothfg,smoothnet,0.015924016807516768,0.012306162852933181,0.019914633379548442,0.012320358190064974,0.01952767542496856,0.0018383863382984652,0.0102648322975343,8945.21935895228,30
temporal,cox_naive,naive,10,ici_smoothcsh,smoothnet,0.016089287508595933,0.012461046098108877,0.020049964221354678,0.012468052408942438,0.01971052260824943,0.001847353421524096,0.009959847671611078,8964.543420242682,30
temporal,cox_naive,naive,10,ici_smoothnet,smoothnet,0.011214256627542338,0.007360793025955293,0.015749649051251518,0.007233154030611807,0.01519535922447287,0.0020309414000250357,0.007938144804566982,9081.401716914359,30
temporal,cox_naive,naive,10,e50_smoothfg,smoothnet,0.0032833126532527735,0.0011825804632316099,0.006754141511658801,0.0006015512309698371,0.00596507407553571,0.0013680910616665444,0.004951866348302981,9215.714133975913,30
temporal,cox_naive,naive,10,e50_smoothcsh,smoothnet,0.003944179309455943,0.0014519576851746874,0.007202695942278159,0.0011268096113356278,0.0067615490075762594,0.00143726746035582,0.008704689205955997,9039.444481746492,30
temporal,cox_naive,naive,10,e50_smoothnet,smoothnet,0.0035729126634070968,0.0012484417043783552,0.006721902469588458,0.000856424831053844,0.00628940049576035,0.0013858023079966757,0.009337324299556578,9002.635623728323,30
temporal,cox_naive,naive,10,e90_smoothfg,smoothnet,0.04826254545133748,0.03737163040326614,0.06049628665477911,0.0370950325380211,0.05943005836465386,0.0056970250925927075,0.013353015772752531,8726.592886867727,30
temporal,cox_naive,naive,10,e90_smoothcsh,smoothnet,0.04617938381040625,0.035029851824860216,0.058578467255924686,0.03498778905028789,0.05737097857052462,0.005709314375213027,0.012754684817214057,8772.054649176052,30
temporal,cox_naive,naive,10,e90_smoothnet,smoothnet,0.03175024730619542,0.019038879962222803,0.0456376991980999,0.019027944922308516,0.044472549690082325,0.006490217985843185,0.009197693190050418,9010.926552057013,30
temporal,cox_naive,naive,10,ici_concordant_austin,smoothnet,0.011214256627542338,0.007360793025955293,0.015749649051251518,0.007233154030611807,0.01519535922447287,0.0020309414000250357,0.007938144804566982,9081.401716914359,30
temporal,cox_naive,naive,10,e50_concordant_austin,smoothnet,0.0035729126634070968,0.0012484417043783552,0.006721902469588458,0.000856424831053844,0.00628940049576035,0.0013858023079966757,0.009337324299556578,9002.635623728323,30
temporal,cox_naive,naive,10,e90_concordant_austin,smoothnet,0.03175024730619542,0.019038879962222803,0.0456376991980999,0.019027944922308516,0.044472549690082325,0.006490217985843185,0.009197693190050418,9010.926552057013,30
temporal,csc_cox,competing,10,ici_smoothfg,smoothcsh,0.009272510167877055,0.005772767800638132,0.013166731451258606,0.00573261763284538,0.012812402702908732,0.0018058616414461353,0.006755873733893835,9140.244827996728,30
temporal,csc_cox,competing,10,ici_smoothcsh,smoothcsh,0.00941541022297057,0.005926904136575397,0.013322282818678158,0.0058496988502197925,0.012981121595721347,0.0018190333793710368,0.006454577636849455,9154.071444122163,30
