model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
gbs_naive,0.15,-0.00010211755781856754,0.011173213017639643,30,cv,5.0
gbs_naive,0.2,-0.00016724442405411017,0.004810737689647072,30,cv,5.0
logistic,0.001,0.014967089370650576,0.8836626084420792,30,cv,5.0
logistic,0.002,0.014186878306846808,0.7616275019643103,30,cv,5.0
logistic,0.003,0.013488143463081994,0.6765686806584963,30,cv,5.0
logistic,0.004,0.012841383376166856,0.6159766604834769,30,cv,5.0
logistic,0.005,0.012216394318433086,0.5682259645371113,30,cv,5.0
logistic,0.006,0.01170614654852639,0.5294525041918787,30,cv,5.0
logistic,0.007,0.011292743476910649,0.4956579967004987,30,cv,5.0
logistic,0.008,0.01085756601928047,0.4668343418142937,30,cv,5.0
logistic,0.009,0.01052153171181503,0.4416260979212062,30,cv,5.0
logistic,0.01,0.010223477734479628,0.4192286403192578,30,cv,5.0
logistic,0.011,0.009908858406744579,0.3984296317896959,30,cv,5.0
logistic,0.012,0.009583692393834827,0.37942995849972594,30,cv,5.0
logistic,0.013,0.009268606466618305,0.3623662446437106,30,cv,5.0
logistic,0.014,0.008971054234384643,0.3465189181307866,30,cv,5.0
logistic,0.015,0.008683367794173598,0.3319379304944662,30,cv,5.0
logistic,0.016,0.008428951331514167,0.31837109399258556,30,cv,5.0
logistic,0.017,0.008169973134726493,0.30591075146006985,30,cv,5.0
logistic,0.018,0.007910376040910133,0.29409815881347556,30,cv,5.0
logistic,0.019,0.00765413124180199,0.28323086518756124,30,cv,5.0
logistic,0.02,0.007378835592789377,0.2729921508590314,30,cv,5.0
logistic,0.025,0.006055300049862137,0.228264467719159,30,cv,5.0
logistic,0.03,0.005235161570223936,0.193580822931264,30,cv,5.0
logistic,0.035,0.004555814459449584,0.16631727594037138,30,cv,5.0
logistic,0.04,0.003946649913505316,0.14382450541231617,30,cv,5.0
logistic,0.045,0.003399179662966983,0.1248612832413955,30,cv,5.0
logistic,0.05,0.002912008118019503,0.10942490934471688,30,cv,5.0
logistic,0.055,0.002430488134088028,0.09638134890741146,30,cv,5.0
logistic,0.06,0.0019805195125770073,0.08547841418731555,30,cv,5.0
logistic,0.065,0.0016654435756949036,0.0760913060030943,30,cv,5.0
logistic,0.07,0.0014750175652474312,0.06785443313109712,30,cv,5.0
logistic,0.075,0.0012632664573411104,0.06081801711312537,30,cv,5.0
logistic,0.08,0.00099520103918462,0.05475444096133752,30,cv,5.0
logistic,0.085,0.0007615007443569228,0.04945525827642909,30,cv,5.0
logistic,0.09,0.0006095043005696133,0.044700952319236195,30,cv,5.0
logistic,0.095,0.0004920742232223385,0.04055200494655186,30,cv,5.0
logistic,0.1,0.0003508393034891619,0.03696953496472342,30,cv,5.0
logistic,0.125,-0.00014995445430103426,0.023116219667943808,30,cv,5.0
logistic,0.15,-0.0004166607943505932,0.01494468880194622,30,cv,5.0
logistic,0.2,-0.0007595999116445176,0.007174660262070046,30,cv,5.0
logistic_cr,0.001,0.01495997011616906,0.9060792366325646,30,cv,5.0
logistic_cr,0.002,0.014191146006253551,0.7825382939256236,30,cv,5.0
logistic_cr,0.003,0.013499217375869153,0.6930005751176561,30,cv,5.0
logistic_cr,0.004,0.012853435643303863,0.6275076344843787,30,cv,5.0
logistic_cr,0.005,0.012228918058001977,0.5764965884452653,30,cv,5.0
logistic_cr,0.006,0.011703045569986371,0.5350543661690413,30,cv,5.0
