model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
deephit,0.08,0.0001166690746169424,0.07177260871118735,30,temporal,5.0
deephit,0.085,0.00010258470902083505,0.06266480866116411,30,temporal,5.0
deephit,0.09,6.722116272979246e-05,0.054425268874834745,30,temporal,5.0
deephit,0.095,-9.021552429531157e-06,0.04646085682638368,30,temporal,5.0
deephit,0.1,-5.081724451431853e-05,0.0395112016293279,30,temporal,5.0
deephit,0.125,-0.00047777284351408037,0.016922142423267946,30,temporal,5.0
deephit,0.15,-0.0006660655472393696,0.007442741272733769,30,temporal,5.0
deephit,0.2,-0.00025368921284882264,0.0010326222889198557,30,temporal,5.0
fine_gray,0.001,0.012854802850157835,0.9859005967056134,30,temporal,5.0
fine_gray,0.002,0.012085785892720158,0.8831171615392861,30,temporal,5.0
fine_gray,0.003,0.011499887162828393,0.7874870475577948,30,temporal,5.0
fine_gray,0.004,0.010982365162942117,0.7134205166684532,30,temporal,5.0
fine_gray,0.005,0.010504931130084985,0.6557937613892164,30,temporal,5.0
fine_gray,0.006,0.010029735708710403,0.6091042269625183,30,temporal,5.0
fine_gray,0.007,0.009655961329477854,0.5714403115732304,30,temporal,5.0
fine_gray,0.008,0.009193928748024716,0.539750598492157,30,temporal,5.0
fine_gray,0.009,0.008866712190181137,0.5124629292171365,30,temporal,5.0
fine_gray,0.01,0.008508928929124018,0.4868045878443563,30,temporal,5.0
fine_gray,0.011,0.008298732370435024,0.4622217458105549,30,temporal,5.0
fine_gray,0.012,0.008069000804161678,0.43973630614213743,30,temporal,5.0
fine_gray,0.013,0.007776562493608175,0.42076321149104945,30,temporal,5.0
fine_gray,0.014,0.007443900895453418,0.40269768106620935,30,temporal,5.0
fine_gray,0.015,0.006994908259617999,0.3858219887805053,30,temporal,5.0
fine_gray,0.016,0.006613959268545411,0.37284453496266123,30,temporal,5.0
fine_gray,0.017,0.006404859311769548,0.3593990066816736,30,temporal,5.0
fine_gray,0.018,0.0061264041924614845,0.3456497659627684,30,temporal,5.0
fine_gray,0.019,0.005882620542441305,0.3324686461571444,30,temporal,5.0
fine_gray,0.02,0.005558703275500359,0.3207560653160396,30,temporal,5.0
fine_gray,0.025,0.004174923705420007,0.2658055525779826,30,temporal,5.0
fine_gray,0.03,0.0027801936024052414,0.22179940686747418,30,temporal,5.0
fine_gray,0.035,0.0019452962154338476,0.18821238432129203,30,temporal,5.0
fine_gray,0.04,0.0016220328485844614,0.16036016722049523,30,temporal,5.0
fine_gray,0.045,0.0010144388279000886,0.13719584092614429,30,temporal,5.0
fine_gray,0.05,0.0008494545399837881,0.119137456676314,30,temporal,5.0
fine_gray,0.055,0.0008036232997822319,0.0999464036874263,30,temporal,5.0
